SNOMED code	SNOMED descriptor	ICD-O code	topography	filter_code
81180006	Sternocleidomastoid branch of occipital artery	C49.0	top	0_0_0_8_0
81201000	Angioblastoma	9161/1	hist	0_0_1_28_23
81204008	Intervertebral foramen of third thoracic vertebra	C41.2	top	0_0_0_3_1_2
81207001	Left upper lobe bronchial lumen	C34.1	top	0_0_0_2_4_1
81210008	Entire subcutaneous bursa of tibial tuberosity	C49.2	top	0_0_0_8_2
81230007	Central tegmental tract of midbrain	C71.7	top	0_0_0_13_2_7
81238000	Vulvar mucous membrane	C51.9	top	0_0_0_10_0_4
81242002	Subparietal sulcus	C71.3	top	0_0_0_13_2_3
81247008	Third metatarsophalangeal joint	C40.3	top	0_0_0_3_0_3
81248003	Posterior gastric artery	C49.4	top	0_0_0_8_4
81275005	Muscular branches of occipital artery	C49.0	top	0_0_0_8_0
81298002	Lesser horn of hyoid bone	C41.0	top	0_0_0_3_1_0
81309001	Spine of scapula	C40.0	top	0_0_0_3_0_0
81347006	Utriculosaccular duct	C30.1	top	0_0_0_2_0_1
81354000	Superior fascia of pelvic diaphragm	C49.5	top	0_0_0_8_5
81355004	Articular surface of acetabulum	C41.4	top	0_0_0_3_1_4
81390007	Caudal articular process of third thoracic vertebra	C41.2	top	0_0_0_3_1_2
81393009	Hidradenoma	8400/0	hist	0_0_1_6_4
81400001	Third occipital nerve	C47.0	top	0_0_0_6_0
81408008	Pharyngeal raphe	C49.0	top	0_0_0_8_0
81420000	Intervertebral space of thoracic vertebra	C41.2	top	0_0_0_3_1_2
81440007	Extensor pollicis longus	C49.1	top	0_0_0_8_1
81446001	Superficial spreading adenocarcinoma	8143/3	hist	0_0_1_5_6
81447005	Medial cutaneous nerve of arm	C47.1	top	0_0_0_6_1
81468006	Semicircular duct	C30.1	top	0_0_0_2_0_1
81482006	Nucleus pulposus, T12-L1	C41.2	top	0_0_0_3_1_2
81495001	Distal convoluted renal tubule	C64.9	top	0_0_0_12_0_0
81502006	Hypopharynx	C13.9	top	0_0_0_0_13_4
81504007	Abdominal ostium of fallopian tube	C57.0	top	0_0_0_10_6_0
81505008	Right false vocal cord	C32.1	top	0_0_0_2_2_1
81509002	Subcutaneous tissue of upper back	C49.6	top	0_0_0_8_6
81510007	Transplanted heart	C38.0	top	0_0_0_2_6_0
81530006	Vocal process of arytenoid cartilage	C32.3	top	0_0_0_2_2_3
81544000	Caudal articular process of third cervical vertebra	C41.2	top	0_0_0_3_1_2
81563004	Skin of plantar surface of fourth toe	C44.7	top	0_0_0_5_7
81606001	Anterior portion of interventricular septum	C38.0	top	0_0_0_2_6_0
81623005	Visceral pleura	C38.4	top	0_0_0_2_6_4
81628001	Entire neck of fourth rib	C41.3	top	0_0_0_3_1_3
81636005	Henle's layer	C44.9	top	0_0_0_5_9
81650000	Superior ligament of epididymis	C63.0	top	0_0_0_11_3_0
81657002	Basal border of lung	C34.9	top	0_0_0_2_4_5
81661008	Anterior ethmoidal nerve	C72.5	top	0_0_0_13_3_5
81668002	Malleolar articular facet of fibula	C40.2	top	0_0_0_3_0_2
